propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,parkingSpace,newDevelopmentFinished
94451866,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/95/e5/1d/889222736.jpg,ENT327,23,3,157000.0,flat,sale,90.0,False,3,1,Calle de la Imagen,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3831895,-3.6650427,False,https://www.idealista.com/inmueble/94451866/,4604,False,good,False,,1744.0,{'typology': 'flat'},"{'subtitle': 'San Diego, Madrid', 'title': 'Piso en Calle de la Imagen'}",True,False,False,False,False,,
94450856,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/e2/ca/889194730.jpg,EXTERIOR CON MIRADOR Y BALCÓN,34,4,274000.0,flat,sale,65.0,True,1,1,Ronda de Segovia,Madrid,Madrid,Centro,es,Palacio,40.407938,-3.7183756,False,https://www.idealista.com/inmueble/94450856/,1694,False,good,False,True,4215.0,{'typology': 'flat'},"{'subtitle': 'Palacio, Madrid', 'title': 'Piso en Ronda de Segovia'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451480,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/31/81/889212890.jpg,,24,8,135000.0,flat,sale,66.0,True,2,1,Calle Barlovento,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4285634,-3.6307544,False,https://www.idealista.com/inmueble/94451480/,6094,True,good,False,True,2045.0,{'typology': 'flat'},"{'subtitle': 'Pueblo Nuevo, Madrid', 'title': 'Piso en Calle Barlovento'}",False,False,False,False,False,,
94451523,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e9/f6/6b/889214360.jpg,VM2-GERARDODIEGO,38,4,179000.0,flat,sale,113.0,True,3,2,GERARDO DE DIEGO,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3849525,-3.644373,False,https://www.idealista.com/inmueble/94451523/,5780,True,good,False,True,1584.0,{'typology': 'flat'},"{'subtitle': 'Palomeras sureste, Madrid', 'title': 'Piso en GERARDO DE DIEGO'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451623,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/15/6b/889216769.jpg,WGI00247,37,1,490000.0,flat,sale,152.0,True,3,2,Calle de Ana de Austria,Madrid,Madrid,Hortaleza,es,Sanchinarro,40.4914906,-3.6589202,False,https://www.idealista.com/inmueble/94451623/,9236,False,good,False,True,3224.0,{'typology': 'flat'},"{'subtitle': 'Sanchinarro, Madrid', 'title': 'Piso en Calle de Ana de Austria'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451550,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/73/9a/889237588.jpg,362,1,2,435000.0,flat,sale,124.0,True,4,2,cartagena,Madrid,Madrid,Chamartín,es,Prosperidad,40.4398339,-3.6747637,False,https://www.idealista.com/inmueble/94451550/,3542,False,good,False,True,3508.0,{'typology': 'flat'},"{'subtitle': 'Prosperidad, Madrid', 'title': 'Piso en cartagena'}",True,False,False,False,False,,
94451474,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/6e/41/889211624.jpg,VKL-284,11,bj,95000.0,flat,sale,59.0,True,2,1,Calle Puerto de Lumbreras,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3809236,-3.6213752,False,https://www.idealista.com/inmueble/94451474/,7670,False,good,False,False,1610.0,{'typology': 'flat'},"{'subtitle': 'Casco Histórico de Vallecas, Madrid', 'title': 'Piso en Calle Puerto de Lumbreras'}",False,False,False,False,False,,
94451492,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/a4/23/889211319.jpg,DS-P77144B,53,5,1305000.0,flat,sale,200.0,True,4,3,Calle de Don Ramón de la Cruz,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4304716,-3.6741232,False,https://www.idealista.com/inmueble/94451492/,2835,True,good,False,True,6525.0,{'typology': 'flat'},"{'subtitle': 'Lista, Madrid', 'title': 'Piso en Calle de Don Ramón de la Cruz'}",True,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451379,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/47/65/889210723.jpg,,48,13,750000.0,flat,sale,190.0,True,3,2,"Calle Leopoldo Alas Clarín, 6",Madrid,Madrid,Fuencarral,es,Peñagrande,40.4794967,-3.7335521,True,https://www.idealista.com/inmueble/94451379/,7736,True,good,False,True,3947.0,{'typology': 'flat'},"{'subtitle': 'Peñagrande, Madrid', 'title': 'Piso en Calle Leopoldo Alas Clarín, 6'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
94451400,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/11/5d/889209491.jpg,504,13,4,109900.0,flat,sale,70.0,True,3,1,barrio San Diego,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3959006,-3.6666297,False,https://www.idealista.com/inmueble/94451400/,3538,False,renew,False,False,1570.0,{'typology': 'flat'},"{'subtitle': 'San Diego, Madrid', 'title': 'Piso'}",False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
